Wavelength (nm),Pk12eV10C_n,Pk12eV10C_k
1053,2.513511353,0.000719044
1054,2.512571941,0.000672154
1055,2.511632529,0.000628034
1056,2.510703118,0.000587755
1057,2.509813706,0.00054942
1058,2.508924294,0.000513369
1059,2.508034882,0.000480438
1060,2.507256771,0.000449096
1061,2.506506486,0.000419639
1062,2.5057562,0.000392715
1063,2.505038206,0.000367092
1064,2.504395559,0.000343022
1065,2.503752912,0.00032101
1066,2.503110265,0.000300061
1067,2.502560265,0.000280394
1068,2.502020559,0.000262397
1069,2.501480853,0.000245271
1070,2.500949235,0.0002292
1071,2.500425706,0.000214486
1072,2.499902176,0.000200484
1073,2.499367176,0.000187353
1074,2.498728941,0.000175323
1075,2.498090706,0.000163876
1076,2.497452471,0.000153146
1077,2.496721794,0.000143311
1078,2.4959515,0.000133952
1079,2.495181206,0.000125185
1080,2.494402706,0.000117144
1081,2.493605059,0.000109493
1082,2.492807412,0.000102329
1083,2.492009765,9.58E-05
1084,2.491313114,8.95E-05
1085,2.490627686,8.36E-05
1086,2.489942257,7.83E-05
1087,2.489292882,7.32E-05
1088,2.488697588,6.84E-05
1089,2.488102294,6.40E-05
1090,2.487507,5.98E-05
1091,2.486964941,5.59E-05
1092,2.486422882,5.23E-05
1093,2.485880824,4.89E-05
1094,2.485343882,4.57E-05
1095,2.484810353,4.27E-05
1096,2.484276824,4.00E-05
1097,2.483745059,3.73E-05
1098,2.483220353,3.49E-05
1099,2.482695647,3.27E-05
1100,2.482170941,3.05E-05
1101,2.481677294,2.86E-05
1102,2.481191412,2.67E-05
1103,2.480705529,2.50E-05
1104,2.480239371,2.33E-05
1105,2.4798028,2.18E-05
1106,2.479366229,2.04E-05
1107,2.478929657,1.91E-05
1108,2.478463529,1.78E-05
1109,2.477994118,1.67E-05
1110,2.477524706,1.56E-05
1111,2.476998676,1.46E-05
1112,2.476416029,1.36E-05
1113,2.475833382,1.28E-05
1114,2.475240176,1.19E-05
1115,2.474551941,1.11E-05
1116,2.473863706,1.04E-05
1117,2.473175471,9.74E-06
1118,2.472508441,9.11E-06
1119,2.4718505,8.52E-06
1120,2.471192559,7.96E-06
1121,2.470603353,7.44E-06
1122,2.470174529,6.96E-06
1123,2.469745706,6.51E-06
1124,2.469316882,6.08E-06
1125,2.469110457,5.69E-06
1126,2.468928743,5.32E-06
1127,2.468747029,4.97E-06
1128,2.468586706,4.65E-06
1129,2.468458471,4.35E-06
1130,2.468330235,4.07E-06
1131,2.468202,3.80E-06
1132,2.467872588,3.55E-06
1133,2.467543176,3.32E-06
1134,2.467213765,3.11E-06
1135,2.466736647,2.91E-06
1136,2.466161059,2.72E-06
1137,2.465585471,2.54E-06
1138,2.464989765,2.37E-06
1139,2.464313588,2.22E-06
1140,2.463637412,2.08E-06
1141,2.462961235,1.94E-06
1142,2.462396057,1.82E-06
1143,2.461858629,1.70E-06
1144,2.4613212,1.59E-06
1145,2.460832059,1.48E-06
1146,2.460455588,1.39E-06
1147,2.460079118,1.30E-06
1148,2.459702647,1.21E-06
1149,2.459409029,1.13E-06
1150,2.459124618,1.06E-06
1151,2.458840206,9.91E-07
1152,2.458526382,9.27E-07
1153,2.458183147,8.67E-07
1154,2.457839912,8.10E-07
1155,2.457486588,7.58E-07
1156,2.457042471,7.08E-07
1157,2.456598353,6.62E-07
1158,2.456154235,6.20E-07
1159,2.4556782,5.79E-07
1160,2.455188486,5.41E-07
1161,2.454698771,5.07E-07
1162,2.454212882,4.73E-07
1163,2.453742294,4.43E-07
1164,2.453271706,4.14E-07
1165,2.452801118,3.87E-07
1166,2.452385588,3.62E-07
1167,2.451983824,3.38E-07
1168,2.451582059,3.16E-07
1169,2.451204647,2.96E-07
1170,2.450863765,2.77E-07
1171,2.450522882,2.58E-07
1172,2.450182,2.42E-07
1173,2.449860235,2.26E-07
1174,2.449538471,2.11E-07
1175,2.449216706,1.98E-07
1176,2.448899771,1.85E-07
1177,2.448586057,1.73E-07
1178,2.448272343,1.62E-07
1179,2.447957735,1.51E-07
1180,2.447635088,1.41E-07
1181,2.447312441,1.32E-07
1182,2.446989794,1.23E-07
1183,2.446682382,1.15E-07
1184,2.4463815,1.08E-07
1185,2.446080618,1.01E-07
1186,2.445788118,9.43E-08
1187,2.445515176,8.82E-08
1188,2.445242235,8.25E-08
1189,2.444969294,7.71E-08
1190,2.444710314,7.21E-08
1191,2.444452886,6.74E-08
1192,2.444195457,6.30E-08
1193,2.443913824,5.89E-08
1194,2.443595882,5.51E-08
1195,2.443277941,5.15E-08
1196,2.44296,4.82E-08
1197,2.442541176,4.51E-08
1198,2.442122353,4.21E-08
1199,2.441703529,3.94E-08
1200,2.441234765,3.68E-08
1201,2.440732706,3.44E-08
1202,2.440230647,3.22E-08
1203,2.439729765,3.01E-08
1204,2.439233588,2.81E-08
1205,2.438737412,2.63E-08
1206,2.438241235,2.46E-08
1207,2.437868629,2.30E-08
1208,2.437526914,2.15E-08
1209,2.4371852,2.01E-08
1210,2.436893235,1.88E-08
1211,2.436717353,1.76E-08
1212,2.436541471,1.64E-08
1213,2.436365588,1.54E-08
1214,2.436296118,1.44E-08
1215,2.436238471,1.34E-08
1216,2.436180824,1.26E-08
1217,2.436095971,1.17E-08
1218,2.435983912,1.10E-08
1219,2.435871853,1.03E-08
1220,2.435744457,9.60E-09
1221,2.435479029,8.98E-09
1222,2.4352136,8.39E-09
1223,2.434948171,7.85E-09
1224,2.434581529,7.34E-09
1225,2.434147412,6.86E-09
1226,2.433713294,6.42E-09
1227,2.433267235,6.00E-09
1228,2.432773412,5.61E-09
1229,2.432279588,5.25E-09
1230,2.431785765,4.91E-09
1231,2.431360882,4.58E-09
1232,2.430953235,4.29E-09
1233,2.430545588,4.01E-09
1234,2.430194371,3.75E-09
1235,2.4299278,3.50E-09
1236,2.429661229,3.28E-09
1237,2.429394657,3.06E-09
1238,2.429225853,2.86E-09
1239,2.429067912,2.68E-09
1240,2.428909971,2.50E-09
1241,2.428766882,2.34E-09
1242,2.428638647,2.19E-09
1243,2.428510412,2.05E-09
1244,2.428378529,1.91E-09
